id,title,description,link,image_link,availability,price,sale_price,brand,condition,gtin,mpn,identifier_exists
TF-20554,Amerex Wall Bracket - 10lb ABC,"Securely mount your fire extinguisher with this universal wall hook designed for 10 to 15 lb. extinguishers (refers to chemical weight). Made by the original extinguisher manufacturer, these brackets ensure reliability and durability. Key Features: Compatibility: Fits 10 to 15 lb. extinguishers (chemical weight, not total weight) Quality Assurance: Made by the original extinguisher manufacturer – not imitation copies Complete Kit: Includes screws and washers for easy installation Availability: Always in stock for fast shipping",https://teslafire.com/product/amerex-wall-bracket-10lb-abc/,https://teslafire.com/wp-content/uploads/2026/06/universal-fire-extinguisher-bracket-wall-hook-10-15lb.jpg,in_stock,10.00 USD,,Amerex,new,,,no
B402TC,Amerex B402TC | 5 lb ABC | Dry Chemical Fire Extinguisher with Vehicle Bracket | 3A 40B:C,"The Amerex B402TC is a rechargeable 5 lb ABC dry chemical fire extinguisher featuring a polished chrome cylinder for applications where appearance matters as much as fire protection. Utilizing monoammonium phosphate dry chemical agent, the B402TC provides dependable protection against Class A, Class B, and Class C fires while complementing upscale commercial, hospitality, retail, and residential environments. The extinguisher features durable all-metal construction, a stored-pressure design, and reliable multi-purpose fire protection. Key Specifications 5 lb ABC dry chemical agent UL Rating: 3A 40B:C Rechargeable stored-pressure design Polished chrome cylinder with all-metal valve construction Operating temperature: -65°F to +120°F and 6-year manufacturer's warranty Applications & Uses Restaurants and hospitality environments Retail stores and showrooms Offices and reception areas Luxury residential properties Commercial buildings requiring decorative fire protection Fire Classes Protected ✔ Class A – Ordinary combustibles ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-b402txc-5-lb-abc-dry-chemical-fire-extinguisher-with-vehicle-bracket-3a-40bc-chrome/,https://teslafire.com/wp-content/uploads/2026/06/5lb-Chrome-Fire-Extinguisher-Amerex-B402-ABC-Multi-Purpose.jpg,in_stock,428.15 USD,,Amerex,new,603813205749,B402TC,
B402,Amerex B402 | 5 lb ABC | Dry Chemical Fire Extinguisher with Wall Bracket | 3A 40B:C,"The Amerex B402 is a rechargeable 5 lb ABC dry chemical fire extinguisher designed for reliable Class A, Class B, and Class C fire protection. Built with a durable steel cylinder, all-metal valve construction, and stored-pressure design, the B402 is ideal for commercial buildings, offices, warehouses, workshops, and general property protection. Key Specifications 5 lb ABC dry chemical agent UL Rating: 3A 40B:C Rechargeable stored-pressure design Durable steel cylinder with all-metal valve construction Operating temperature: -65°F to +120°F Applications & Uses Offices and commercial buildings Retail stores and warehouses Workshops and maintenance areas Property management facilities Residential garages and utility areas",https://teslafire.com/product/amerex-b402x-5-lb-abc-dry-chemical-fire-extinguisher-with-wall-bracket-3a-40bc/,https://teslafire.com/wp-content/uploads/2026/06/7.-5lb-Fire-Extinguisher-Amerex-B402-ABC-Multi-Purpose.jpg,in_stock,129.35 USD,80.00 USD,Amerex,new,850026795011,B402,
B417TC,Amerex B417TC | 2.5 lb ABC | Dry Chemical Fire Extinguisher with Vehicle Bracket | 1A 10B:C,"The Amerex B417TC is a rechargeable 2.5 lb ABC dry chemical fire extinguisher featuring a polished chrome cylinder for applications where appearance and aesthetics are important. Utilizing monoammonium phosphate dry chemical agent, the B417TC provides dependable protection against Class A, Class B, and Class C fires while complementing upscale commercial, hospitality, marine, and residential environments. Its compact size, durable construction, and attractive finish make it an excellent choice for decorative and customer-facing applications requiring code-compliant fire protection. Reference specifications are identical to the standard B417TX model with a chrome-plated cylinder finish. Key Specifications 2.5 lb ABC dry chemical agent UL Rating: 1A:10B:C Rechargeable stored-pressure design Chrome-plated cylinder with all-metal valve construction Operating temperature: -65°F to +120°F and 6-year manufacturer's warranty Applications & Uses Restaurants and hospitality environments Offices and reception areas Marine and recreational vehicles Retail stores and showrooms Luxury residential properties Fire Classes Protected ✔ Class A – Ordinary combustibles ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-b417txc-2-5-lb-abc-dry-chemical-fire-extinguisher-with-vehicle-bracket-1a-10bc-chrome/,https://teslafire.com/wp-content/uploads/2026/06/2.5lb-Chrome-Fire-Extinguisher-Amerex-B403TX-ABC-Multi-Purpose.jpg,in_stock,336.74 USD,,Amerex,new,850026795172,B417TC,
330,Amerex 330 | 10 lb CO₂ | Carbon Dioxide Fire Extinguisher with Wall Bracket | 10B:C,"The Amerex 330 is a rechargeable 10 lb Carbon Dioxide (CO₂) fire extinguisher designed for protection against Class B and Class C fires. Utilizing clean, non-conductive carbon dioxide agent, the Model 330 leaves no residue after discharge, making it ideal for protecting sensitive electronic equipment, laboratories, electrical rooms, and commercial applications where cleanup must be minimized. Its rugged steel cylinder and dependable construction provide reliable fire protection for commercial and industrial environments. Key Specifications 10 lb carbon dioxide (CO₂) agent UL Rating: 10B:C Clean, residue-free extinguishing agent Non-conductive for energized electrical equipment Rechargeable heavy-duty construction Applications & Uses Electrical rooms and control panels Computer and server rooms Laboratories and medical facilities Commercial and industrial facilities Telecommunications and data centers Fire Classes Protected ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-330-10-lb-co₂-carbon-dioxide-fire-extinguisher-with-wall-bracket-10bc/,https://teslafire.com/wp-content/uploads/2026/06/amerex-330-3.png,in_stock,656.12 USD,399.00 USD,Amerex,new,850026795301,330,
B385TS,Amerex B385TS | 2.5 lb Halotron I | Clean Agent Fire Extinguisher with Vehicle Bracket | 2B:C,"The Amerex B385TS is a rechargeable 2.5 lb Halotron1 clean agent fire extinguisher designed for protection against Class B and Class C fires where residue from dry chemical extinguishers is unacceptable. Utilizing Halotron1 clean agent , the B385TS leaves no residue after discharge, making it ideal for protecting sensitive electronic equipment, marine applications, laboratories, telecommunications equipment, and other critical environments. Its lightweight aluminum cylinder and valve construction provide dependable performance while minimizing weight, making it particularly suitable for transportation and specialty applications. Key Specifications 2.5 lb Halotron1 clean agent UL Rating: 2B:C Clean, non-conductive, residue-free extinguishing agent Lightweight aluminum cylinder and valve construction Operating temperature: -40°F to +120°F Applications & Uses Marine and boating applications Computer and server rooms Telecommunications equipment Laboratories and electronic equipment rooms Vehicles and specialty equipment applications Fire Classes Protected ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-b385tsx-2-5-lb-halotron-i-clean-agent-fire-extinguisher-with-vehicle-bracket-2bc/,https://teslafire.com/wp-content/uploads/2026/06/Tesla-Fire-Systems-Products-2.jpg,in_stock,722.80 USD,512.00 USD,Amerex,new,850026795400,B385TS,
B479T,Amerex B479T Purple K | 5 lb BC | Dry Chemical Fire Extinguisher with Vehicle Bracket | 30B:C,"The Amerex B479T is a rechargeable 5 lb BC dry chemical fire extinguisher designed for rapid knockdown of flammable liquid and energized electrical fires. Utilizing Purple K (potassium bicarbonate) dry chemical agent, the B479T delivers superior Class B fire-fighting performance and is widely used in transportation, industrial, fuel handling, marine, and commercial applications where flammable liquid hazards are present. Its durable steel cylinder, all-metal valve construction, and stored-pressure design provide dependable performance and easy maintenance in demanding environments. Key Specifications 5 lb Purple K (potassium bicarbonate) dry chemical agent UL Rating: 30B:C Rechargeable stored-pressure design Durable steel cylinder with all-metal valve construction Operating temperature: -65°F to +120°F Applications & Uses Fuel storage and dispensing facilities Commercial and industrial vehicles Marine and boating applications Workshops and maintenance facilities Manufacturing and processing plants Fire Classes Protected ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-b479t-purple-k-5-lb-bc-dry-chemical-fire-extinguisher-with-vehicle-bracket-40bc/,https://teslafire.com/wp-content/uploads/2026/06/17.-Amerex-B479T.jpg,in_stock,178.16 USD,,Amerex,new,850026795219,B479T,
B570,Amerex B570 | 30 lb Class D | Sodium Chloride Fire Extinguisher with Wall Bracket,"The Amerex B570 is a rechargeable 30 lb Class D fire extinguisher specifically designed for fires involving combustible metals. It utilizes a special blended sodium chloride-based dry powder agent (Super D) that forms a crust over the burning metal, excluding oxygen and dissipating heat to extinguish the fire safely. The B570 is effective on fires involving magnesium, sodium, potassium, sodium-potassium alloys, and has demonstrated effectiveness on zirconium, uranium, titanium, and powdered aluminum fires. Its unique ""soft flow"" extension applicator allows controlled application while helping the operator maintain a safer distance from extreme heat and toxic fumes. Key Specifications 30 lb sodium chloride (Super D) dry powder agent Designed for Class D combustible metal fires Chrome-plated brass valve construction FM Approved and compliant with NFPA 10 Operating temperature: -40°F to +120°F Applications & Uses Magnesium processing facilities Metal fabrication and machining operations Titanium and zirconium manufacturing Chemical and industrial processing plants Laboratories handling combustible metals Fire Classes Protected ✔ Class D – Combustible metals and combustible metal alloys",https://teslafire.com/product/amerex-b570x-30-lb-class-d-sodium-chloride-fire-extinguisher-with-wall-bracket/,https://teslafire.com/wp-content/uploads/2026/06/14.-Model-B570-30LBS-Class-D-Fire-Extinguisher.jpg,in_stock,1350.54 USD,1152.00 USD,Amerex,new,850026795073,B570,
715,Amerex 715 Z-Series | 30 lb ABC | Dry Chemical Fire Extinguisher with Wall Bracket | 20A 120B:C,"The Amerex 715 is a 30 lb ABC Z-Series High Performance fire extinguisher engineered for high-hazard, frequent-use, and extreme environment applications. Designed with a chrome-plated brass valve, proprietary corrosion-resistant coating, and heavy-duty steel construction, the Model 715 delivers exceptional extinguishing performance and long service life. The Z-Series platform offers lower maintenance costs and greater reliability than cartridge-operated extinguishers, making it ideal for demanding industrial and commercial environments. Key Specifications 30 lb ABC dry chemical extinguishing agent UL Rating: 20A 120B:C High-performance Z-Series design Chrome-plated brass valve with corrosion-resistant coating 12-year manufacturer's warranty Applications & Uses Manufacturing and industrial facilities Distribution centres and warehouses Chemical processing facilities Oil and gas facilities Heavy construction and high-hazard environments Fire Classes Protected ✔ Class A – Ordinary combustibles ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-715x-z-series-30-lb-abc-dry-chemical-fire-extinguisher-with-wall-bracket-20a-120bc/,https://teslafire.com/wp-content/uploads/2026/06/15.30-lb.-Fire-Extinguisher-Amerex-ABC-Multi-Purpose.jpg,in_stock,999.70 USD,776.00 USD,Amerex,new,685744208952,715,
376T,Amerex 376T Purple K | 1 lb BC | Dry Chemical Fire Extinguisher with Vehicle Bracket | 2B:C,"The Amerex 376T is a rechargeable 1 lb BC dry chemical fire extinguisher designed for protection against Class B and Class C fires. Utilizing Purple K (potassium bicarbonate) extinguishing agent, the Model 376T provides rapid knockdown of flammable liquid fires and dependable protection for vehicles, marine applications, workshops, and light commercial environments. Its compact size and lightweight design make it an ideal choice where space is limited but reliable fire protection is required. Key Specifications 1 lb Purple K (potassium bicarbonate) dry chemical agent UL Rating: 2B:C Rechargeable stored-pressure design Anodized aluminum valve construction Operating temperature: -65°F to +120°F Applications & Uses Cars, trucks, and recreational vehicles Boats and marine applications Small equipment and machinery Workshops and garages Light commercial and industrial vehicles Fire Classes Protected ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-376t-purple-k-1-lb-bc-dry-chemical-fire-extinguisher-with-vehicle-bracket-2bc/,https://teslafire.com/wp-content/uploads/2026/06/16.-Amerex-376-1lb-Purple-K-Class-B-C-Ideal-for-Boats.jpg,in_stock,150.65 USD,,Amerex,new,400017862767,376T,
C270,Amerex C270 | 6 Litre (1.75 Gal) | Deionized Water Mist Fire Extinguisher with Non-Metallic Wall Bracket| 2A:C,"The Amerex C270 is a rechargeable 6 litre (1.75 gallon) deionized water mist fire extinguisher designed for Class A fires and locations where potential Class C electrical hazards exist. The unique misting nozzle produces an ultra-fine spray that enhances cooling, reduces the scattering of burning materials, and provides safety from electrical shock. Filled with deionized water, the C270 leaves no powder residue and is an excellent choice for hospitals, telecommunications facilities, clean rooms, MRI facilities, and other sensitive environments where contamination from dry chemical agents is undesirable. The Amerex Water Mist series features a durable stainless steel cylinder, all-metal valve construction, and non-magnetic construction tested for use in MRI facilities up to 11.7 Tesla , including the wall hanger bracket. The extinguisher is easy to use, maintain, and service while providing dependable fire protection for specialized applications. Key Specifications Unit ships uncharged as standard. Add $85.00 to have the extinguisher shipped fully charged and ready for service. 6 litre (1.75 gallon) deionized water mist agent UL Rating: 2A:C Non-magnetic construction tested to 11.7 Tesla for MRI facilities Stainless steel cylinder with all-metal valve construction Operating temperature: +40°F to +120°F Applications & Uses Hospitals and healthcare facilities MRI and imaging rooms Telecommunications facilities Clean room manufacturing facilities Laboratories and sensitive equipment areas Fire Classes Protected ✔ Class A – Ordinary combustibles ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-c270-6-litre-1-75-gal-deionized-water-mist-fire-extinguisher-with-non-metallic-wall-bracket-2ac/,https://teslafire.com/wp-content/uploads/2026/06/c270__28678.jpg,in_stock,453.24 USD,,Amerex,new,400017862736,C270,
C272,Amerex C272 | 9 Litre (2.5 Gal) | Deionized Water Mist Fire Extinguisher with Non-Metallic Wall Bracket | 2A:C,"The Amerex C272 is a rechargeable 9 litre (2.5 gallon) deionized water mist fire extinguisher designed for Class A fires and locations where potential Class C electrical hazards exist. The specially designed misting nozzle produces an ultra-fine spray that provides exceptional cooling while minimizing the scattering of burning materials and reducing the risk of electrical shock. Filled with deionized water, the C272 leaves no powder residue and is an excellent choice for hospitals, MRI facilities, clean rooms, telecommunications centres, and other sensitive environments. The Amerex Water Mist series features durable stainless steel construction and non-magnetic components tested for use in MRI facilities up to 11.7 Tesla , including the wall hanger bracket. The larger 9 litre capacity and extended discharge time make the C272 ideal for larger spaces and applications requiring longer firefighting capability. Key Specifications Unit ships uncharged as standard. Add $85.00 to have the extinguisher shipped fully charged and ready for service. 9 litre (2.5 gallon) deionized water mist agent UL Rating: 2A:C Non-magnetic construction tested to 11.7 Tesla for MRI facilities Stainless steel cylinder with all-metal valve construction Operating temperature: +40°F to +120°F Applications & Uses Hospitals and healthcare facilities MRI and imaging rooms Telecommunications facilities Clean room manufacturing facilities Laboratories and sensitive equipment areas Fire Classes Protected ✔ Class A – Ordinary combustibles ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-c272-9-litre-2-5-gal-deionized-water-mist-fire-extinguisher-with-non-metallic-wall-bracket-2ac/,https://teslafire.com/wp-content/uploads/2026/06/c272__03426.jpg,in_stock,461.56 USD,,Amerex,new,850026795363,C272,
B394TS,Amerex B394TS | 5.5 lb Halotron I | Clean Agent Fire Extinguisher with Aircraft Bracket | 5B:C,"The Amerex B394TS is a rechargeable 5.5 lb Halotron I clean agent fire extinguisher designed for protection against Class B and Class C fires where residue from dry chemical extinguishers is unacceptable. Utilizing Halotron I clean agent , the B394TS leaves no residue after discharge, making it ideal for protecting aircraft, avionics, marine applications, electrical equipment, and sensitive electronic environments. This model is FAA Approved and USCG Approved , making it one of the most popular clean agent extinguishers for aviation and specialty transportation applications. Key Specifications 5.5 lb Halotron I clean agent UL Rating: 5B:C FAA Approved and USCG Approved Clean, non-conductive, residue-free extinguishing agent Lightweight aluminum cylinder and valve construction Applications & Uses Aircraft and aviation applications Marine and boating applications Avionics and electrical equipment Telecommunications and server rooms Specialty vehicles and sensitive electronics Fire Classes Protected ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-b394ts-5-5-lb-halotron-i-clean-agent-fire-extinguisher-with-aircraft-bracket-5bc/,https://teslafire.com/wp-content/uploads/2026/06/394ts.webp,in_stock,1601.47 USD,,Amerex,new,400017862866,B394TS,
TF-20573,Amerex Wall Bracket - 20lb ABC,"Securely mount your 15-20 lb fire extinguisher with this universal wall hook. Designed to hold the chemical weight, not the total extinguisher weight. Key Features: Universal Design: Fits 15-20 lb fire extinguishers Durable Construction: Ensures safe and secure mounting Easy Installation: Includes necessary hardware for quick setup Reliable Support: Made for extinguishers weighing 15-20 lbs (chemical weight)",https://teslafire.com/product/amerex-wall-bracket-20lb-abc/,https://teslafire.com/wp-content/uploads/2026/06/Universal-Fire-Extinguisher-Bracket-–-Wall-Hook-for-10-to-15-lb.-Extinguishers.jpg,in_stock,10.00 USD,,Amerex,new,,,no
817,Amerex 817| Wrap Around Vehicle Bracket,"The Amerex 817 2.5lb Fire Extinguisher Vehicle Bracket is designed to securely hold a 2.5lb fire extinguisher in vehicles, ensuring it remains in place during travel. This durable bracket provides easy access to the extinguisher in case of an emergency.",https://teslafire.com/product/amerex-vehicle-bracket-2-5lb-abc-817/,https://teslafire.com/wp-content/uploads/2026/06/18.-2.5lb-Fire-Extinguisher-Vehicle-Bracket-Amerex-817.jpg,in_stock,14.33 USD,,Amerex,new,,817,
A384T,Amerex A384T | 1.4 lb Halotron I | Clean Agent Fire Extinguisher with Vehicle Bracket | 1B:C,"The Amerex A384T is a rechargeable 1.4 lb Halotron I clean agent fire extinguisher designed for protection against Class B and Class C fires where residue from dry chemical extinguishers is unacceptable. Utilizing Halotron I clean agent , the A384T leaves no residue after discharge, making it ideal for protecting sensitive electronics, avionics, electrical equipment, marine applications, and specialty vehicle installations. Its lightweight aluminum cylinder and compact design make it particularly well suited for aviation and transportation applications where weight and space are critical considerations. Key Specifications 1.4 lb Halotron I clean agent UL Rating: 1B:C Clean, non-conductive, residue-free extinguishing agent Lightweight aluminum cylinder and valve construction Operating temperature: -40°F to +120°F Applications & Uses Aircraft and aviation applications Boats and marine vessels Electrical and control equipment Specialty vehicles and equipment Laboratories and sensitive electronics Fire Classes Protected ✔ Class B – Flammable liquids and gases ✔ Class C – Energized electrical equipment",https://teslafire.com/product/amerex-a384t-1-4-lb-halotron-i-clean-agent-fire-extinguisher-with-vehicle-bracket-2bc/,https://teslafire.com/wp-content/uploads/2026/06/Amerex-A384T-1.4lb-Halotron-I-Class-B-C-Fire-Extinguisher.jpg,in_stock,505.31 USD,354.00 USD,Amerex,new,850026795394,A384T,
